2023-01-02T22:08:37.561884
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
5,0.0012299,0.00859707,0.00342137,0.00213422,0.00128716,14.5602,17.1133,1.50819
9,0.000899162,0.0117066,0.00415127,0.00285339,0.00129788,14.5641,17.7721,1.50706
1,0.000918009,0.0517827,0.0100653,0.00861969,0.00144561,14.5497,17.3671,1.50721
7,0.00119674,0.0229684,0.00495286,0.00358892,0.00136394,14.6211,17.1411,1.50989
6,0.00117614,0.0177448,0.00396775,0.00245764,0.00151011,15.6245,17.6078,1.50491
4,0.000989997,0.0205508,0.00757334,0.00603871,0.00153463,15.6365,17.513,1.51837
0,0.00106458,0.0114165,0.00455006,0.00310509,0.00144497,15.6794,18.0875,1.50879
3,0.00120528,0.0342899,0.00607559,0.00482351,0.00125208,15.7297,17.5694,1.50794
8,0.00200492,0.0437079,0.0100358,0.00844424,0.00159153,16.6936,18.3763,1.50554
2,0.000955781,0.182368,0.0261858,0.0247623,0.00142348,16.903,18.948,1.50894
2023-01-05T17:20:17.273773
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
0,0.000451582,0.00692139,0.00256962,0.00160338,0.00096624,14.2662,17.3592,1.50605
7,0.000758037,0.0167625,0.00380814,0.00276431,0.00104383,14.3905,16.8664,1.51152
9,0.000586382,0.0157194,0.0039918,0.0031332,0.000858599,14.4548,17.4491,1.50755
6,0.000635768,0.019867,0.00468675,0.00366671,0.00102004,15.4353,18.2071,1.50831
5,0.00069285,0.00376055,0.00187706,0.000960415,0.000916642,15.5034,16.8415,1.51
8,0.00120873,0.0490843,0.0148832,0.013331,0.00155216,15.6455,17.7955,1.50744
2,0.000703099,0.024595,0.00500905,0.0039741,0.00103495,16.4958,18.4779,1.50769
1,0.000536488,0.0355438,0.00477102,0.00385312,0.000917902,16.7161,18.5236,1.5062
3,0.000715608,0.018336,0.00453504,0.00358837,0.00094667,17.365,18.2312,1.50408
4,0.00105038,0.0176292,0.00527075,0.00410452,0.00116624,17.4953,17.7834,1.51097
2023-01-05T17:20:59.305773
drone_id,min_planning_time,max_planning_time, avg_planning_time,average_init_time,average_opt_time, mission_time, distance, max_vel
9,0.000574205,0.0215959,0.00443857,0.00304852,0.00139005,13.3081,16.84,1.50801
5,0.000873825,0.00482765,0.00225814,0.00131952,0.000938612,14.1438,17.0905,1.51091
7,0.000382422,0.0152329,0.00213976,0.00118943,0.000950331,14.3312,17.0219,1.50484
0,0.000398328,0.00567561,0.00222068,0.00135561,0.000865063,15.2626,17.8537,1.51291
3,0.000550554,0.0169008,0.00277244,0.00185958,0.000912854,15.3523,17.3959,1.5102
8,0.000906496,0.0394235,0.00799936,0.00664151,0.00135785,15.3908,17.6934,1.50682
6,0.000939636,0.0971058,0.00836926,0.00723094,0.00113832,15.4128,17.6123,1.50987
4,0.00064095,0.0138158,0.00492635,0.00400421,0.000922146,15.4594,17.8326,1.50553
1,0.000512552,0.0254129,0.00600682,0.00500789,0.000998935,15.5434,16.7709,1.5043
2,0.00055997,0.13822,0.0139561,0.0127353,0.00122077,17.667,19.3831,1.50453
